Idx;t;x_pos;x_vel;y_pos;y_vel;z_pos;z_vel;laser_pwr;p_chamb;gassFlow;glassSenseVal;glassLedPwr
162;2023-08-02-07:34:59.598;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
163;2023-08-02-07:34:59.608;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
164;2023-08-02-07:34:59.618;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
165;2023-08-02-07:34:59.628;121.52570;0.00700;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
166;2023-08-02-07:34:59.638;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
167;2023-08-02-07:34:59.648;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
168;2023-08-02-07:34:59.658;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
169;2023-08-02-07:34:59.668;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
170;2023-08-02-07:34:59.678;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
171;2023-08-02-07:34:59.688;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
172;2023-08-02-07:34:59.698;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
173;2023-08-02-07:34:59.708;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
174;2023-08-02-07:34:59.718;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2319;28
175;2023-08-02-07:34:59.728;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2323;28
176;2023-08-02-07:34:59.738;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2323;28
177;2023-08-02-07:34:59.748;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
178;2023-08-02-07:34:59.758;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
179;2023-08-02-07:34:59.768;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
180;2023-08-02-07:34:59.778;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
181;2023-08-02-07:34:59.788;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
182;2023-08-02-07:34:59.798;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
183;2023-08-02-07:34:59.808;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
184;2023-08-02-07:34:59.818;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
185;2023-08-02-07:34:59.828;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
186;2023-08-02-07:34:59.838;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
187;2023-08-02-07:34:59.848;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
188;2023-08-02-07:34:59.858;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
189;2023-08-02-07:34:59.868;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
190;2023-08-02-07:34:59.878;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
191;2023-08-02-07:34:59.888;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
192;2023-08-02-07:34:59.898;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
193;2023-08-02-07:34:59.908;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
194;2023-08-02-07:34:59.918;121.52570;0.00500;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
195;2023-08-02-07:34:59.928;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
196;2023-08-02-07:34:59.938;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
197;2023-08-02-07:34:59.948;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2325;28
198;2023-08-02-07:34:59.958;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
199;2023-08-02-07:34:59.968;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
200;2023-08-02-07:34:59.978;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2328;28
201;2023-08-02-07:34:59.988;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2319;28
202;2023-08-02-07:34:59.998;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
