Idx,t,x_pos,x_vel,y_pos,y_vel,z_pos,z_vel,laser_pwr,p_chamb,gassFlow,glassSenseVal,glassLedPwr
114,2023-08-01-12:08:50.001,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
115,2023-08-01-12:08:50.011,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
116,2023-08-01-12:08:50.021,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
117,2023-08-01-12:08:50.031,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
118,2023-08-01-12:08:50.041,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2944,41
119,2023-08-01-12:08:50.051,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
120,2023-08-01-12:08:50.061,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
121,2023-08-01-12:08:50.071,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
122,2023-08-01-12:08:50.081,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
123,2023-08-01-12:08:50.091,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2944,41
124,2023-08-01-12:08:50.101,98.62540,0.00900,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
125,2023-08-01-12:08:50.111,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
126,2023-08-01-12:08:50.121,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
127,2023-08-01-12:08:50.131,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2952,41
128,2023-08-01-12:08:50.141,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
